Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Region,Occupancy Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge Off Amount,Original Appraisal Amount,Appraisal Value,Appraisal Date,FICO,Total Loan To Value,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date
East West Bank,EWB-1000001,Specialty,GNMA,Borrower 1,"8941 Main St, Unit 4",Residential Property (1-4 Units),SP1,IL,North,4,FC,Susan Martinez,2022-03-28,2052-03-20,2026-04-20,1339,Current,0,248260,0,423538,401916,2022-03-13,602,61.77,2025-12-30,4441,448,DDA-16697,789,2026-03-19,2026-03-19
East West Bank,EWB-1000002,ARM,EWB-INT,Borrower 2,"6868 Main St, Unit 22",Residential Property (1-4 Units),LC1,NJ,North,1,REO,Sandra Garcia,2022-10-07,2052-09-29,2026-04-20,4145,90-Day Delinquent,90,532482,2090,715894,649866,2022-09-22,817,81.94,2025-11-20,1528,90,DDA-30867,49731,2026-02-26,2026-03-21
East West Bank,EWB-1000003,Specialty,GNMA,Borrower 3,"1120 Main St, Unit 41",Commercial & Multi-Family (5+ Units),CE1,TX,West,3,PIF,Daniel Martin,2023-06-01,2053-05-24,2026-04-20,2137,Current,0,564826,0,623254,585009,2023-05-17,773,96.55,2025-12-30,3226,159,DDA-86875,7631,2026-03-11,2026-03-17
East West Bank,EWB-1000004,ARM,EWB-INT,Borrower 4,"431 Main St, Unit 4",Residential Property (1-4 Units),CR1,NJ,South,1,M,Daniel Martin,2022-02-02,2052-01-26,2026-04-20,1587,Current,0,1390912,0,1469512,1707231,2022-01-18,693,81.47,2025-11-25,1742,795,DDA-42193,27750,2026-03-01,2026-03-21
East West Bank,EWB-1000005,Specialty,EWB-INT,Borrower 5,"1986 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CR1,NY,East,3,LEG,James Miller,2022-12-13,2052-12-05,2026-04-20,2232,90-Day Delinquent,120,1130760,2170,1403617,1724609,2022-11-28,770,65.57,2025-11-14,2307,444,DDA-64251,30226,2026-03-12,2026-03-17
East West Bank,EWB-1000006,Construction,EWB-INT,Borrower 6,"5660 Main St, Unit 14",Residential Property (1-4 Units),CR1,FL,East,4,SII,Nancy Jackson,2022-04-27,2052-04-19,2026-04-20,1386,Current,0,178901,0,218148,250196,2022-04-12,612,71.5,2025-12-17,2395,347,DDA-23767,30849,2026-03-09,2026-03-17
East West Bank,EWB-1000007,Lot Loan,EWB-INT,Borrower 7,"4608 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CE1,NY,East,2,SII,Lisa Williams,2022-10-09,2052-10-01,2026-04-20,4558,Current,0,1295089,0,1450571,1751857,2022-09-24,794,73.93,2025-11-13,1764,834,DDA-87335,23750,2026-02-22,2026-03-17
East West Bank,EWB-1000008,Equity,PRIV,Borrower 8,"4776 Main St, Unit 47",Residential Property (1-4 Units),CE1,NJ,East,2,TRNS,Donald Martinez,2022-02-05,2052-01-29,2026-04-20,3411,Current,0,384410,0,722843,847013,2022-01-21,815,45.38,2025-12-25,4913,384,DDA-42624,15427,2026-03-09,2026-03-16
East West Bank,EWB-1000009,ARM,PRIV,Borrower 9,"8076 Main St, Unit 49",Commercial & Multi-Family (5+ Units),SP1,IL,North,1,SII,Patricia Hernandez,2023-11-17,2053-11-09,2026-04-20,2505,Current,0,902736,0,1046942,1253710,2023-11-02,761,72.01,2025-11-19,2079,503,DDA-11229,4098,2026-02-28,2026-03-18
East West Bank,EWB-1000010,Foreign National,PRIV,Borrower 10,"2088 Main St, Unit 45",Commercial & Multi-Family (5+ Units),CR1,NY,North,4,LEG,Richard Davis,2022-02-19,2052-02-12,2026-04-20,3771,Current,0,557378,0,610337,651157,2022-02-04,737,85.6,2025-12-29,1134,357,DDA-23271,4551,2026-03-06,2026-03-18
East West Bank,EWB-1000011,Conventional,FNMA,Borrower 11,"4514 Main St, Unit 13",Residential Property (1-4 Units),SP1,TX,East,1,REO,Margaret Harris,2022-07-19,2052-07-11,2026-04-20,2977,30-Day Delinquent,30,878998,0,955889,1064175,2022-07-04,698,82.6,2025-12-30,1691,16,DDA-26696,29685,2026-03-17,2026-03-18
