Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Occup Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge off Amount,Orig Appraisal Amount,Orig Appraisal Date,Appraisal Value,Appraisal Date,FICO,Total LTV,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date,Resp 5/9
East West Bank,EWB-1000001,Conventional,PRIV,Borrower 1,"824 Main St, Unit 40",Residential Property (1-4 Units),HE1,MA,1,LEG,Lisa Williams,2023-11-28,2053-11-20,2026-04-21,3496,Current,0,278043,0,423538,2023-10-29,437535,2024-10-24,714,63.55,2026-02-07,2852,168,SAV-30474,43841,2026-03-19,2026-03-21,NA
East West Bank,EWB-1000002,Equity,FHLMC,Borrower 2,"218 Main St, Unit 41",Residential Property (1-4 Units),CR1,NY,4,SII,Richard Davis,2023-06-16,2053-06-08,2026-04-21,3887,Current,0,317932,0,623254,2023-05-17,779386,2025-05-23,668,40.79,2026-01-27,3250,409,SAV-59264,16743,2026-03-20,2026-03-17,Y
East West Bank,EWB-1000003,Foreign National,FNMA,Borrower 3,"2001 Main St, Unit 27",Residential Property (1-4 Units),HE1,WA,2,SII,Sarah Jenkins,2023-11-23,2053-11-15,2026-04-21,3515,90-Day Delinquent,120,1107014,3816,1403617,2023-10-24,1678593,2025-03-12,632,65.95,2026-02-25,2200,338,SAV-76892,37048,2026-03-21,2026-03-21,NA
East West Bank,EWB-1000004,Equity,GNMA,Borrower 4,"5282 Main St, Unit 42",Residential Property (1-4 Units),CR1,NJ,1,LOSS,Christopher Thomas,2023-12-28,2053-12-20,2026-04-21,3903,Current,0,1278991,0,1450571,2023-11-28,1771772,2025-02-19,843,72.19,2026-02-11,2352,380,SAV-15052,7146,2026-03-15,2026-03-20,N
East West Bank,EWB-1000005,ARM,EWB-INT,Borrower 5,"6544 Main St, Unit 22",Residential Property (1-4 Units),CE1,FL,4,LEG,James Miller,2022-09-19,2052-09-11,2026-04-21,4775,Current,0,476229,0,754365,2022-08-20,854624,2025-12-02,629,55.72,2026-02-28,3886,41,SAV-42199,24714,2026-03-17,2026-03-18,NA
East West Bank,EWB-1000006,ARM,GNMA,Borrower 6,"4106 Main St, Unit 50",Residential Property (1-4 Units),HE1,TX,3,BK,Barbara Taylor,2022-10-15,2052-10-07,2026-04-21,1216,30-Day Delinquent,30,818096,0,955889,2022-09-15,954196,2025-01-27,633,85.74,2026-03-14,3609,403,SAV-81741,21872,2026-03-18,2026-03-17,NA
East West Bank,EWB-1000007,Equity,FHLMC,Borrower 7,"1147 Main St, Unit 10",Commercial & Multi-Family (5+ Units),HE1,NY,3,FC,John Smith,2023-12-21,2053-12-13,2026-04-21,3826,Current,0,763543,0,1370405,2023-11-21,1662938,2024-11-01,770,45.92,2026-02-11,3080,264,SAV-54256,41322,2026-03-08,2026-03-17,NA
East West Bank,EWB-1000008,Equity,EWB-INT,Borrower 8,"8899 Main St, Unit 3",Residential Property (1-4 Units),CR1,NY,3,M,Patricia Hernandez,2023-08-18,2053-08-10,2026-04-21,1708,60-Day Delinquent,60,249822,0,352283,2023-07-19,422560,2025-09-12,781,59.12,2026-02-22,3851,240,SAV-87712,44170,2026-03-19,2026-03-17,Y
East West Bank,EWB-1000009,Construction,EWB-INT,Borrower 9,"8907 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CE1,TX,1,BK,Joseph White,2023-12-21,2053-12-13,2026-04-21,1123,90-Day Delinquent,90,912334,2386,1196797,2023-11-21,1480401,2025-05-26,794,61.63,2026-03-12,3503,58,SAV-66942,9837,2026-03-20,2026-03-18,N
East West Bank,EWB-1000010,Construction,GNMA,Borrower 10,"1159 Main St, Unit 4",Commercial & Multi-Family (5+ Units),SP1,FL,1,PIF,David Rodriguez,2022-05-14,2052-05-06,2026-04-21,2761,Current,0,653485,0,1157293,2022-04-14,1460303,2025-05-01,792,44.75,2026-02-06,3149,456,SAV-57145,32557,2026-03-18,2026-03-21,NA
East West Bank,EWB-1000011,ARM,PRIV,Borrower 11,"9321 Main St, Unit 50",Residential Property (1-4 Units),CR1,NY,2,PIF,Sarah Jenkins,2022-09-17,2052-09-09,2026-04-21,4058,Current,0,462611,0,757086,2022-08-18,858494,2025-12-30,796,53.89,2026-02-26,3895,297,SAV-18573,6023,2026-03-09,2026-03-20,Y
East West Bank,EWB-1000012,ARM,FHLMC,Borrower 12,"4540 Main St, Unit 21",Commercial & Multi-Family (5+ Units),SP1,NY,1,DIS,James Miller,2023-02-05,2053-01-28,2026-04-21,2187,Current,0,694988,0,1076075,2023-01-06,1350067,2024-10-16,620,51.48,2026-03-20,3008,386,SAV-10039,17991,2026-03-08,2026-03-17,Y
East West Bank,EWB-1000013,Foreign National,EWB-INT,Borrower 13,"6575 Main St, Unit 36",Commercial & Multi-Family (5+ Units),HE1,CA,4,TRNS,Thomas Thompson,2023-11-04,2053-10-27,2026-04-21,2929,Current,0,799540,0,1128732,2023-10-05,1323988,2025-12-18,588,60.39,2026-03-13,1134,153,SAV-70394,9382,2026-03-08,2026-03-17,N
East West Bank,EWB-1000014,ARM,FHLMC,Borrower 14,"2536 Main St, Unit 12",Commercial & Multi-Family (5+ Units),LC1,MA,4,LOSS,Christopher Thomas,2022-07-13,2052-07-05,2026-04-21,4883,60-Day Delinquent,60,168666,0,283767,2022-06-13,365984,2024-11-06,642,46.09,2026-03-03,2631,195,SAV-27919,15612,2026-03-10,2026-03-20,NA
East West Bank,EWB-1000015,Foreign National,GNMA,Borrower 15,"8897 Main St, Unit 33",Commercial & Multi-Family (5+ Units),SP1,TX,3,LOSS,Matthew Moore,2023-11-12,2053-11-04,2026-04-21,2316,60-Day Delinquent,60,144824,0,163986,2023-10-13,159441,2024-12-29,840,90.83,2026-02-16,3827,158,SAV-37221,38223,2026-03-12,2026-03-20,Y
East West Bank,EWB-1000016,Construction,GNMA,Borrower 16,"9200 Main St, Unit 34",Residential Property (1-4 Units),LC1,VA,2,LOSS,David Rodriguez,2022-09-29,2052-09-21,2026-04-21,4781,90-Day Delinquent,90,780739,3933,1000937,2022-08-30,1136261,2026-01-11,607,68.71,2026-02-12,2771,215,SAV-91140,8071,2026-03-07,2026-03-19,NA
East West Bank,EWB-1000017,Construction,PRIV,Borrower 17,"4450 Main St, Unit 38",Residential Property (1-4 Units),HE1,GA,2,TRNS,David Rodriguez,2022-01-13,2052-01-06,2026-04-21,3479,90-Day Delinquent,90,1138263,4926,1229111,2021-12-14,1342646,2026-01-19,627,84.78,2026-02-10,3208,125,SAV-50846,45799,2026-03-07,2026-03-22,NA
East West Bank,EWB-1000018,Construction,FHLMC,Borrower 18,"4311 Main St, Unit 42",Residential Property (1-4 Units),SP1,NY,2,FC,Robert Brown,2022-07-18,2052-07-10,2026-04-21,2916,Current,0,598727,0,639570,2022-06-18,695498,2024-04-08,793,86.09,2026-02-20,3254,222,SAV-92957,43388,2026-03-16,2026-03-21,NA
East West Bank,EWB-1000019,Equity,EWB-INT,Borrower 19,"9780 Main St, Unit 42",Residential Property (1-4 Units),CS1,NY,2,TRNS,Matthew Moore,2023-05-31,2053-05-23,2026-04-21,1576,90-Day Delinquent,90,295390,2607,351664,2023-05-01,442035,2024-06-18,710,66.83,2026-02-23,2223,141,SAV-32661,44198,2026-03-22,2026-03-17,NA
East West Bank,EWB-1000020,Equity,GNMA,Borrower 20,"7432 Main St, Unit 30",Commercial & Multi-Family (5+ Units),SP1,NY,4,DIS,Barbara Taylor,2022-07-05,2052-06-27,2026-04-21,4295,60-Day Delinquent,60,734693,0,1189577,2022-06-05,1294119,2024-10-06,834,56.77,2026-02-13,3719,384,SAV-34136,29008,2026-03-08,2026-03-19,NA
